Units	TotalCost	TotalMaterialCost	AvgTotalCost	AvgMaterialCost
600	24054	1867.977	40.09	3.113295
100	3986	316.4976	39.86	3.164976
110	4791.6	352.36674	43.56	3.203334
180	7452	584.3376	41.4	3.24632
150	6099	492.036	40.66	3.28024
120	6441.6	393.74712	53.68	3.281226
1800	40500	5970.888	22.5	3.31716
600	22398	2003.1456	37.33	3.338576
220	7821	742.74222	35.55	3.376101
150	7177.5	513.4995	47.85	3.42333
100	6143	344.4576	61.43	3.444576
240	12960	847.15848	54	3.529827
180	7034.4	642.16152	39.08	3.567564
190	7945.8	681.12739	41.82	3.584881
230	12765	828.33787	55.5	3.601469
300	10929	1094.3901	36.43	3.647967
130	5246.8	487.916	40.36	3.7532
190	7248.5	719.06678	38.15	3.784562
190	7653.2	720.42585	40.28	3.791715
290	9862.9	1103.63473	34.01	3.805637
170	8498.3	662.5903	49.99	3.89759
100	4319	391.3779	43.19	3.913779
300	10143	1181.7018	33.81	3.939006
110	5371.3	442.10936	48.83	4.019176
600	27792	2438.3232	46.32	4.063872
100	4317	414.3137	43.17	4.143137
220	13455.2	918.9345	61.16	4.176975
180	10377	757.25208	57.65	4.206956
230	12806.4	974.2616	55.68	4.23592
120	6890.4	525.084	57.42	4.3757
140	5667.2	626.7492	40.48	4.47678
400	17648	1800.9936	44.12	4.502484
900	35604	4276.2096	39.56	4.751344
230	14839.6	1184.40478	64.52	5.149586
1000	53710	5769.36	53.71	5.76936
100	5622	606.373	56.22	6.06373
1700	69445	11152.6902	40.85	6.560406
1200	44808	7911.6912	37.34	6.593076
170	8423.5	1122.9894	49.55	6.60582
1700	105043	12778.3968	61.79	7.516704
